Well,Fluor,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev,SQ Std. Dev
A01,FAM,25.13516068,NaN,25.13516068,0,0
A02,FAM,38.53393289,NaN,38.53393289,0,0
A03,FAM,28.67782749,NaN,28.67782749,0,0
A04,FAM,24.18724756,NaN,24.18724756,0,0
A05,FAM,25.37187495,NaN,25.37187495,0,0
A06,FAM,21.85541812,NaN,21.85541812,0,0
A07,FAM,19.04648931,NaN,19.04648931,0,0
A08,FAM,22.83880459,NaN,22.83880459,0,0
A09,FAM,22.39092301,NaN,22.39092301,0,0
A10,FAM,25.11556496,NaN,25.11556496,0,0
A11,FAM,20.45996326,NaN,20.45996326,0,0
A12,FAM,20.64047788,NaN,20.64047788,0,0
B01,FAM,19.94752441,NaN,19.94752441,0,0
B02,FAM,19.419482,NaN,19.419482,0,0
B03,FAM,NaN,NaN,0,0,0
B04,FAM,NaN,NaN,0,0,0
B05,FAM,NaN,NaN,0,0,0
B06,FAM,NaN,NaN,0,0,0
B07,FAM,NaN,NaN,0,0,0
B08,FAM,NaN,NaN,0,0,0
B09,FAM,NaN,NaN,0,0,0
B10,FAM,NaN,NaN,0,0,0
B11,FAM,NaN,NaN,0,0,0
B12,FAM,NaN,NaN,0,0,0
C01,FAM,24.75524849,NaN,24.75524849,0,0
C02,FAM,38.96202867,NaN,38.96202867,0,0
C03,FAM,28.52561423,NaN,28.52561423,0,0
C04,FAM,23.67252749,NaN,23.67252749,0,0
C05,FAM,24.77207597,NaN,24.77207597,0,0
C06,FAM,21.48077689,NaN,21.48077689,0,0
C07,FAM,18.96245708,NaN,18.96245708,0,0
C08,FAM,22.61866369,NaN,22.61866369,0,0
C09,FAM,22.26969057,NaN,22.26969057,0,0
C10,FAM,25.11876885,NaN,25.11876885,0,0
C11,FAM,20.35480322,NaN,20.35480322,0,0
C12,FAM,20.35323549,NaN,20.35323549,0,0
D01,FAM,19.87679113,NaN,19.87679113,0,0
D02,FAM,18.6092502,NaN,18.6092502,0,0
D03,FAM,NaN,NaN,0,0,0
D04,FAM,NaN,NaN,0,0,0
D05,FAM,NaN,NaN,0,0,0
D06,FAM,NaN,NaN,0,0,0
D07,FAM,NaN,NaN,0,0,0
D08,FAM,NaN,NaN,0,0,0
D09,FAM,NaN,NaN,0,0,0
D10,FAM,NaN,NaN,0,0,0
D11,FAM,NaN,NaN,0,0,0
D12,FAM,NaN,NaN,0,0,0
E01,FAM,32.87377481,NaN,32.87377481,0,0
E02,FAM,38.86407011,NaN,38.86407011,0,0
E03,FAM,35.20936325,NaN,35.20936325,0,0
E04,FAM,31.37540791,NaN,31.37540791,0,0
E05,FAM,32.49993609,NaN,32.49993609,0,0
E06,FAM,28.3167656,NaN,28.3167656,0,0
E07,FAM,23.57670801,NaN,23.57670801,0,0
E08,FAM,33.11231692,NaN,33.11231692,0,0
E09,FAM,33.72907392,NaN,33.72907392,0,0
E10,FAM,35.630685,NaN,35.630685,0,0
E11,FAM,31.99979197,NaN,31.99979197,0,0
E12,FAM,33.64570618,NaN,33.64570618,0,0
F01,FAM,30.46277856,NaN,30.46277856,0,0
F02,FAM,31.17805137,NaN,31.17805137,0,0
F03,FAM,NaN,NaN,0,0,0
F04,FAM,NaN,NaN,0,0,0
F05,FAM,NaN,NaN,0,0,0
F06,FAM,NaN,NaN,0,0,0
F07,FAM,NaN,NaN,0,0,0
F08,FAM,NaN,NaN,0,0,0
F09,FAM,NaN,NaN,0,0,0
F10,FAM,NaN,NaN,0,0,0
F11,FAM,NaN,NaN,0,0,0
F12,FAM,NaN,NaN,0,0,0
G01,FAM,32.71437731,NaN,32.71437731,0,0
G02,FAM,37.63618976,NaN,37.63618976,0,0
G03,FAM,34.76148442,NaN,34.76148442,0,0
G04,FAM,31.39407181,NaN,31.39407181,0,0
G05,FAM,32.47991677,NaN,32.47991677,0,0
G06,FAM,28.33459365,NaN,28.33459365,0,0
G07,FAM,23.67888633,NaN,23.67888633,0,0
G08,FAM,NaN,NaN,0,0,0
G09,FAM,NaN,NaN,0,0,0
G10,FAM,NaN,NaN,0,0,0
G11,FAM,NaN,NaN,0,0,0
G12,FAM,NaN,NaN,0,0,0
H01,FAM,30.48177809,NaN,30.48177809,0,0
H02,FAM,32.50000548,NaN,32.50000548,0,0
H03,FAM,NaN,NaN,0,0,0
H04,FAM,NaN,NaN,0,0,0
H05,FAM,NaN,NaN,0,0,0
H06,FAM,NaN,NaN,0,0,0
H07,FAM,NaN,NaN,0,0,0
H08,FAM,NaN,NaN,0,0,0
H09,FAM,NaN,NaN,0,0,0
H10,FAM,NaN,NaN,0,0,0
H11,FAM,NaN,NaN,0,0,0
H12,FAM,NaN,NaN,0,0,0
